DistrictName,MandalName,PanchayatId,PanchayatName,DateofRegister,Gender,year,month
Sangareddy ,Kandi,206870,Kandi,01-06-2023,1,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,2,2023,June
Khammam ,Khammam (Rural),202419,Peddathanda,01-06-2023,1,2023,June
Nizamabad,Sirkonda,209803,Pandimadugu,01-06-2023,1,2023,June
Adilabad ,Utnoor,195751,Utnur,01-06-2023,2,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,1,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,2,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
Sangareddy ,Kandi,206870,Kandi,01-06-2023,1,2023,June
Medak,Yeldurthy,207057,Yeldurthy,01-06-2023,2,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
Nalgonda,Dameracherla,207396,Damercherla,01-06-2023,1,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,2,2023,June
Nirmal,Narsapur G,195127,Narsapur(G),01-06-2023,2,2023,June
Adilabad ,Talamadugu,281458,Cherlapally,01-06-2023,1,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-06-2023,2,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,2,2023,June
Wanaparthy,Revally,205214,Cheerkapally,01-06-2023,1,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,1,2023,June
Kamareddy ,Madnur,209574,Madnur,01-06-2023,1,2023,June
Mulugu,Tadvai,214184,Tadvai,01-06-2023,1,2023,June
Mancherial,Jannaram,195250,Jannaram,01-06-2023,2,2023,June
Peddapalli,Dharmaram,201085,Dharmaram,01-06-2023,2,2023,June
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,1,2023,July
Wanaparthy,Peddamandadi,205866,Peddamandadi,01-07-2023,2,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,1,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,1,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,2,2023,July
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,2,2023,July
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,2,2023,July
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,1,2023,July
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,2,2023,July
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,1,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,2,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,1,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,2,2023,July
Jangoan ,Bachannapeta,213284,Bachannapeta,01-07-2023,2,2023,July
Medak,Ramayampet,206789,Dongal Dharmaram,01-07-2023,1,2023,July
Adilabad ,Utnoor,195751,Utnur,01-07-2023,1,2023,July
Sangareddy ,Kalher,206352,Kalher,01-07-2023,2,2023,July
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,01-07-2023,2,2023,July
Sangareddy ,Kalher,206352,Kalher,01-07-2023,2,2023,July
Nizamabad,Rudrur,278949,Suleman Nagar,01-07-2023,1,2023,July
Nizamabad,Renjal,209759,Kalyapur,01-08-2023,1,2023,August
Nizamabad,Navipet,209674,Jannepalli,01-08-2023,1,2023,August
Nizamabad,Nandipet,209665,Ummeda,01-08-2023,2,2023,August
Nizamabad,Renjal,209759,Kalyapur,01-08-2023,2,2023,August
Jogulamba Gadwal ,Maldakal,205638,Maldakal,01-08-2023,1,2023,August
Nizamabad,Nandipet,209665,Ummeda,01-08-2023,2,2023,August
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,01-08-2023,1,2023,August
Nizamabad,Nandipet,209665,Ummeda,01-08-2023,2,2023,August
Siddipet,Siddipet Urban,206954,Mittapalle,01-08-2023,2,2023,August
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,01-08-2023,1,2023,August
Rajanna Sircilla,Thangallapalli,201938,Cheerlavanch,01-08-2023,2,2023,August
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,01-08-2023,1,2023,August
Khammam ,Chinthakani,202258,Pandillapalli,01-08-2023,1,2023,August
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Siddipet,Koheda,201480,Koheda,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Jogulamba Gadwal ,Maldakal,205638,Maldakal,01-09-2023,1,2023,September
Nizamabad,Navipet,209689,Siranpalli,01-09-2023,1,2023,September
Nizamabad,Sirkonda,209806,Ravutla,01-09-2023,2,2023,September
Nirmal,Mudhole,195522,Mudhole,01-09-2023,1,2023,September
Rangareddy,Shamshabad,210485,Peddashapur,01-09-2023,1,2023,September
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,01-09-2023,1,2023,September
Rangareddy,Shamshabad,210485,Peddashapur,01-09-2023,2,2023,September
Mahabubnagar,Addakal,204767,Addakal,01-09-2023,1,2023,September
Kamareddy ,Nizamsagar,209737,Narva,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Medak,Chegunta,206139,Polampalle,01-09-2023,2,2023,September
Mahabubnagar,Gandeed,210027,Nancherla,01-09-2023,1,2023,September
Nirmal,Mudhole,195522,Mudhole,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Nizamabad,Sirkonda,209806,Ravutla,01-09-2023,2,2023,September
Rangareddy,Moinabad,210259,Moinabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Wankidi,195774,Wankidi Kalan,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Adilabad ,Ichoda,195151,Ichoda,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Rangareddy,Maheshwaram,210179,Maheshwaram,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,1,2023,September
Kamareddy ,Sadasivanagar,209428,Uthnoor,01-09-2023,1,2023,September
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-09-2023,2,2023,September
Nizamabad,Navipet,209689,Siranpalli,01-10-2023,1,2023,October
Nizamabad,Varni,209855,Varni,01-10-2023,2,2023,October
Jogulamba Gadwal ,Maldakal,205638,Maldakal,01-10-2023,1,2023,October
Narayanpet,Krishna,205568,Hindupur,01-10-2023,1,2023,October
Mulugu,Tadvai,214184,Tadvai,01-10-2023,1,2023,October
Siddipet,Dubbak,206232,Thimmapur,01-11-2023,2,2023,November
Adilabad ,Ichoda,195151,Ichoda,01-11-2023,2,2023,November
Medchal Malkajigiri,Ghatkesar,210038,Aushapur,01-11-2023,1,2023,November
Siddipet,Dubbak,206232,Thimmapur,01-11-2023,2,2023,November
Mahabubnagar,Koilkonda,280668,Rajunaik Tanda,01-11-2023,1,2023,November
Medchal Malkajigiri,Ghatkesar,210038,Aushapur,01-11-2023,2,2023,November
Siddipet,Dubbak,206232,Thimmapur,01-11-2023,1,2023,November
Nizamabad,Renjal,209764,Satapur,01-11-2023,1,2023,November
Siddipet,Dubbak,206232,Thimmapur,01-11-2023,1,2023,November
Jangoan ,Bachannapeta,213284,Bachannapeta,01-11-2023,1,2023,November
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-11-2023,2,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,1,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,2,2023,November
Jangoan ,Bachannapeta,213284,Bachannapeta,01-11-2023,2,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,1,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,2,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,2,2023,November
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,01-11-2023,2,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,2,2023,November
Bhadradri Kothagudem ,Aswaraopeta,202136,Aswaraopeta,01-11-2023,2,2023,November
Bhadradri Kothagudem ,Aswaraopeta,202136,Aswaraopeta,01-11-2023,2,2023,November
Bhadradri Kothagudem ,Aswaraopeta,202136,Aswaraopeta,01-11-2023,2,2023,November
Rangareddy,Shabad,210441,Shabad,01-11-2023,1,2023,November
Medchal Malkajigiri,Shamirpet,278126,Babaguda,01-11-2023,2,2023,November
Khammam ,Kallur,202366,Kalluru,01-11-2023,1,2023,November
Kumuram Bheem Asifabad ,Chintalamanepally,195367,Babasagar,01-11-2023,2,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,2,2023,November
Mahabubnagar,Balanagar,204883,Balanagar,01-11-2023,2,2023,November
Sangareddy ,Patancheru,206728,Muthangi,01-11-2023,2,2023,November
Jangoan ,Bachannapeta,213284,Bachannapeta,01-11-2023,1,2023,November
Sangareddy ,Munipally,206594,Munpalle,01-11-2023,2,2023,November
Sangareddy ,Munipally,206594,Munpalle,01-11-2023,2,2023,November
Mahabubnagar,Addakal,204767,Addakal,01-11-2023,1,2023,November
Sangareddy ,Munipally,206594,Munpalle,01-11-2023,1,2023,November
Medchal Malkajigiri,Ghatkesar,210038,Aushapur,01-11-2023,2,2023,November
Mahabubnagar,Addakal,204767,Addakal,01-12-2023,1,2023,December
Sangareddy ,Manoor,206491,Manoor,01-12-2023,2,2023,December
Mahabubnagar,Addakal,204767,Addakal,01-12-2023,2,2023,December
Nizamabad,Indalwai,209370,Sirnapally,01-12-2023,2,2023,December
Kumuram Bheem Asifabad ,Chintalamanepally,195370,Gangapur,02-01-2023,2,2023,January
Medchal Malkajigiri,Muduchinthalapally,210456,Kolthur,02-01-2023,2,2023,January
Adilabad ,Ichoda,195151,Ichoda,02-01-2023,1,2023,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2023,1,2023,January
Medak,Tekmal,206977,Tekmal,02-01-2023,1,2023,January
Rangareddy,Maheshwaram,210179,Maheshwaram,02-01-2023,1,2023,January
Sangareddy ,Kangti,206368,Damargiddi P.M.,02-01-2023,2,2023,January
Rangareddy,Maheshwaram,210179,Maheshwaram,02-01-2023,2,2023,January
Jogulamba Gadwal ,Maldakal,205638,Maldakal,02-01-2023,1,2023,January
Rangareddy,Maheshwaram,210179,Maheshwaram,02-01-2023,1,2023,January
Nizamabad,Rudrur,278949,Suleman Nagar,02-01-2023,1,2023,January
Sangareddy ,Raikode,206777,Raikode,02-01-2023,2,2023,January
Medak,Papannapet,206710,Papannapet,02-01-2023,1,2023,January
Mulugu,Tadvai,214184,Tadvai,02-01-2023,1,2023,January
Mahabubnagar,Addakal,204767,Addakal,02-01-2023,2,2023,January
Sangareddy ,Kangti,209447,Babalgaon,02-01-2023,2,2023,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2023,1,2023,January
Nagarkurnool,Uppununthala,205953,Laxmapoor(PG),02-01-2023,2,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-01-2023,1,2023,January
Bhadradri Kothagudem ,Laxmidevipalli,280593,Prashantnagar,02-01-2023,1,2023,January
Siddipet,Nanganoor,206612,Nanganur,02-01-2023,2,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-01-2023,2,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-01-2023,2,2023,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2023,1,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-01-2023,2,2023,January
Yadadri Bhuvanagiri,Valigonda,208182,Arrur,02-01-2023,1,2023,January
Nagarkurnool,Balmoor,204920,Kondanagula,02-01-2023,1,2023,January
Nizamabad,Kotgiri,209510,Kotgir,02-01-2023,1,2023,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2023,1,2023,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2023,1,2023,January
Medak,Tekmal,206977,Tekmal,02-01-2023,1,2023,January
Jogulamba Gadwal ,Ghattu,205195,Gorlakhandoddi,02-01-2023,2,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-01-2023,1,2023,January
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-01-2023,2,2023,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Siddipet,Dubbak,206232,Thimmapur,02-01-2024,1,2024,January
Siddipet,Dubbak,206232,Thimmapur,02-01-2024,1,2024,January
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,02-01-2024,1,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Rangareddy,Moinabad,210259,Moinabad,02-01-2024,2,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Nizamabad,Rudrur,278949,Suleman Nagar,02-01-2024,2,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,2,2024,January
Rangareddy,Moinabad,210259,Moinabad,02-01-2024,2,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,2,2024,January
Rangareddy,Moinabad,210259,Moinabad,02-01-2024,1,2024,January
Sangareddy ,Kalher,206352,Kalher,02-01-2024,2,2024,January
Sangareddy ,Kalher,206352,Kalher,02-01-2024,2,2024,January
Rangareddy,Moinabad,210259,Moinabad,02-01-2024,2,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Siddipet,Siddipet Urban,206954,Mittapalle,02-01-2024,1,2024,January
Rangareddy,Moinabad,210259,Moinabad,02-01-2024,1,2024,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2024,1,2024,January
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,02-01-2024,2,2024,January
Mancherial,Bheemaram,195223,Bhimaram,02-01-2024,2,2024,January
Sangareddy ,Raikode,206760,Dharmapur,02-01-2024,1,2024,January
Kumuram Bheem Asifabad ,Tiryani,281938,Chintapally,02-01-2024,2,2024,January
Kumuram Bheem Asifabad ,Tiryani,281938,Chintapally,02-01-2024,2,2024,January
Kumuram Bheem Asifabad ,Tiryani,281938,Chintapally,02-01-2024,1,2024,January
Kumuram Bheem Asifabad ,Rebbena,195613,Rebbana,02-01-2024,1,2024,January
Kumuram Bheem Asifabad ,Rebbena,195613,Rebbana,02-01-2024,1,2024,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2024,1,2024,January
Adilabad ,Gadiguda,195535,Gadiguda,02-01-2024,1,2024,January
Suryapet,Mella Chervu,207673,Mellacheruvu,02-01-2024,1,2024,January
Adilabad ,Gadiguda,195535,Gadiguda,02-01-2024,1,2024,January
Bhadradri Kothagudem ,Manuguru,202580,Samithsingaram,02-01-2024,1,2024,January
Adilabad ,Gadiguda,195535,Gadiguda,02-01-2024,2,2024,January
Adilabad ,Gadiguda,195535,Gadiguda,02-01-2024,1,2024,January
Medak,Tekmal,206977,Tekmal,02-01-2024,1,2024,January
Adilabad ,Gadiguda,195535,Gadiguda,02-01-2024,1,2024,January
Narayanpet,Dhanwada,205055,Dhanwada,02-01-2024,1,2024,January
Sangareddy ,Sirgapoor,278707,Goudgaon,02-01-2024,1,2024,January
Bhadradri Kothagudem ,Bhadrachalam,245211,Bhadrachalam,02-01-2024,2,2024,January
Kumuram Bheem Asifabad ,Penchicalpet,194980,Yelkapalle,02-01-2024,2,2024,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2024,1,2024,January
Vikarabad,Vikarabad,210548,Gottimukkala,02-01-2024,2,2024,January
Wanaparthy,Peddamandadi,205866,Peddamandadi,02-01-2024,2,2024,January
Suryapet,Mella Chervu,207673,Mellacheruvu,02-01-2024,2,2024,January
Nalgonda,Peddavoora,207982,Peddavoora,02-01-2024,2,2024,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2024,1,2024,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2024,1,2024,January
Yadadri Bhuvanagiri,Valigonda,208210,Valigonda,02-01-2024,2,2024,January
Mahabubnagar,Gandeed,210017,Gandeed,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Nagarkurnool,Veldanda,206039,Pothepalle,02-02-2023,1,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,1,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,1,2023,February
Nagarkurnool,Veldanda,206039,Pothepalle,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Nagarkurnool,Veldanda,206039,Pothepalle,02-02-2023,1,2023,February
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-02-2023,2,2023,February
Rangareddy,Maheshwaram,210179,Maheshwaram,02-02-2023,2,2023,February
Sangareddy ,Raikode,206777,Raikode,02-02-2023,1,2023,February
Kumuram Bheem Asifabad ,Bejjur,194959,Bejjur,02-02-2023,1,2023,February
Medak,Alladurg,206079,Alladurg,02-02-2023,1,2023,February
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-02-2023,2,2023,February
Rajanna Sircilla,Mustabad,201702,Musthabad,02-02-2023,1,2023,February
Kumuram Bheem Asifabad ,Asifabad,194934,Asifabad,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,1,2023,February
Kamareddy ,Kamareddy,278576,Raghavapur,02-02-2023,1,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Kamareddy ,Nizamsagar,209728,Burgul,02-02-2023,2,2023,February
Khammam ,Thallada,202752,Thallada,02-02-2023,1,2023,February
Sangareddy ,Kangti,206375,Kangti,02-02-2023,1,2023,February
Medak,Yeldurthy,207057,Yeldurthy,02-02-2023,1,2023,February
Rangareddy,Moinabad,210259,Moinabad,02-02-2023,1,2023,February
Kamareddy ,Nizamsagar,209738,Oddepalli,02-02-2023,2,2023,February
Bhadradri Kothagudem ,Dammapeta,202282,Dammapeta,02-02-2023,2,2023,February
Sangareddy ,Kangti,206376,Nagoor [B],02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Adilabad ,Ichoda,195151,Ichoda,02-02-2023,1,2023,February
Adilabad ,Ichoda,195151,Ichoda,02-02-2023,1,2023,February
Adilabad ,Ichoda,195151,Ichoda,02-02-2023,1,2023,February
Nizamabad,Navipet,209678,Maddepalli,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Siddipet,Bejjanki,200932,Bejjanki,02-02-2023,2,2023,February
Bhadradri Kothagudem ,Aswaraopeta,202136,Aswaraopeta,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,1,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,2,2023,February
Mulugu,Mulugu,213871,Mulug,02-02-2023,1,2023,February
Kamareddy ,Madnur,209574,Madnur,02-02-2023,2,2023,February
Nizamabad,Bheemgal,209247,Badabheemgal,02-03-2023,1,2023,March
Suryapet,Thungathurthi,208178,Thungathurthy,02-03-2023,1,2023,March
